DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,OBS_FOOTNOTE:Observation footnote,SERIES_FOOTNOTE:Series footnote,DATA_SOURCE:Data Source,SOURCE_LINK:Citation of or link to the data source,CUSTODIAN:Custodian,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,REF_PERIOD:Reference Period,COVERAGE_TIME:The period of time for which data are provided,AGE:Current age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,4.058869839,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,3.611720085,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AND: Andorra,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2019,3.151619911,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARG: Argentina,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,5.462230206,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARM: Armenia,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,2.707590103,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ABW: Aruba,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2016,5.524149895,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AUS: Australia,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,5.124249935,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AUT: Austria,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,5.358039856,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AZE: Azerbaijan,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,2.455430031,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BHR: Bahrain,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,2.327810049,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BGD: Bangladesh,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2019,1.326320052,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BRB: Barbados,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,4.366380215,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
